COTA;Position X;Position Y
13.256;287993.154;9111444.067
13.299;288001.579;9111443.003
13.508;288002.121;9111435.490
13.174;287991.629;9111458.872
13.047;287976.035;9111458.219
13.511;287985.035;9111439.560
13.126;287985.553;9111452.263
13.299;288003.472;9111419.484
13.258;288006.004;9111421.016
13.271;288012.211;9111424.791
13.409;287998.898;9111416.812
13.482;288000.339;9111428.652
13.567;287994.678;9111425.774
13.653;287993.943;9111425.000
13.067;287971.427;9111461.882
12.869;287956.373;9111487.746
12.701;287962.693;9111483.340
12.886;287964.495;9111491.935
12.800;287959.047;9111482.377
13.023;287989.285;9111505.698
12.728;287967.771;9111486.242
12.918;287961.326;9111478.396
12.782;287969.722;9111479.181
12.766;287970.957;9111473.276
12.954;287966.383;9111470.144
12.684;287968.892;9111485.099
13.457;287965.746;9111492.328
12.891;287968.708;9111492.577
12.915;287968.999;9111492.749
13.009;287970.344;9111491.262
12.786;288013.295;9111441.473
12.947;288012.439;9111425.646
12.776;288017.610;9111434.543
12.926;288008.535;9111438.747
12.997;288001.789;9111449.370
12.841;288007.251;9111444.706
13.031;288001.383;9111443.724
12.843;288025.365;9111438.697
12.761;288026.513;9111438.639
12.910;288032.779;9111437.997
12.649;288027.999;9111434.815
12.804;288020.325;9111429.863
12.815;288023.538;9111433.130
12.963;288022.388;9111436.271
12.979;287994.226;9111455.287
12.933;287988.193;9111487.616
13.025;287977.311;9111480.874
13.004;287986.404;9111467.380
12.862;287996.894;9111494.156
13.338;287976.978;9111494.499
12.925;287984.450;9111492.695
13.181;287980.347;9111500.023
12.733;288025.301;9111445.211
12.879;288009.259;9111475.229
12.891;288002.641;9111462.934
12.822;288023.969;9111452.309
13.009;287995.677;9111472.231
12.855;288006.736;9111479.083
12.791;288018.735;9111456.018
13.309;288012.411;9111425.280
12.911;287980.390;9111475.489
12.669;288032.545;9111437.404
13.213;288012.709;9111425.262
